id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment
611976,CN,85,5,16983.90,3,4,5,345,4,loyal customers
612594,CN,127,1,418.02,2,1,1,211,1,lost
612840,CN,29,5,9826.86,4,4,4,444,4,loyal customers
612954,CN,29,7,8418.66,4,4,4,444,4,loyal customers
613104,CN,71,1,282.12,3,1,1,311,1,about to sleep
613476,CN,323,1,1927.14,1,1,2,112,1,lost
613596,CN,50,2,4402.14,4,2,3,423,2,potential loyalists
613686,CN,1,1,2926.08,5,1,3,513,2,potential loyalists
613830,CN,309,1,29115.36,1,1,5,115,3,at risk
613920,CN,155,3,22986.72,2,3,5,235,4,at risk
614736,CN,225,1,790.26,2,1,1,211,1,lost
614880,CN,8,6,7789.20,5,4,4,544,4,loyal customers
615084,CN,29,4,1831.02,4,3,2,432,2,potential loyalists
615474,CN,281,1,5992.02,1,1,4,114,2,lost
615750,CN,57,1,176.22,3,1,1,311,1,about to sleep
616140,CN,57,1,3197.10,3,1,3,313,2,about to sleep
616200,CN,1,63,336670.14,5,5,5,555,5,champions
616380,CN,211,3,3801.90,2,3,3,233,3,at risk
616566,CN,8,3,2738.58,5,3,3,533,3,potential loyalists
616776,CN,253,1,366.48,1,1,1,111,1,lost
616788,CN,274,3,1376.16,1,3,2,132,2,lost
616968,CN,155,1,1201.14,2,1,2,212,1,lost
617124,CN,246,1,350.58,1,1,1,111,1,lost
617130,CN,295,1,12300.96,1,1,4,114,2,lost
617214,CN,260,1,104.28,1,1,1,111,1,lost
617364,CN,148,1,3638.76,2,1,3,213,2,hibernating
617424,CN,57,5,11640.24,3,4,4,344,4,loyal customers
617484,CN,316,1,4799.76,1,1,3,113,2,lost
617598,CN,113,5,472.50,3,4,1,341,2,about to sleep
617646,CN,57,2,6056.70,3,2,4,324,3,need attention
618048,CN,218,1,1220.70,2,1,2,212,1,lost
618228,CN,344,1,704.76,1,1,1,111,1,lost
618516,CN,85,1,732.36,3,1,1,311,1,about to sleep
618810,CN,337,1,242.88,1,1,1,111,1,lost
618894,CN,1,1,99.00,5,1,1,511,1,new customers
619008,CN,36,1,171.30,4,1,1,411,1,promising
619044,CN,176,2,1318.98,2,2,2,222,2,hibernating
619626,CN,106,2,4257.00,3,2,3,323,2,about to sleep
619944,CN,15,21,72800.64,5,5,5,555,5,champions
620532,CN,127,5,4763.64,2,4,3,243,3,at risk
620550,CN,43,1,1099.32,4,1,2,412,1,promising
621138,CN,8,5,8242.68,5,4,4,544,4,loyal customers
621648,CN,22,3,8227.32,4,3,4,434,3,potential loyalists
621762,CN,134,1,2370.84,2,1,3,213,2,hibernating
621822,CN,169,1,143.70,2,1,1,211,1,lost
621942,CN,183,2,1518.12,2,2,2,222,2,hibernating
622458,CN,344,1,257.52,1,1,1,111,1,lost
622578,CN,204,1,3037.56,2,1,3,213,2,hibernating
622710,CN,1,712,1230348.24,5,5,5,555,5,champions
622788,CN,204,3,1856.94,2,3,2,232,2,hibernating
624354,CN,43,1,5084.10,4,1,4,414,2,potential loyalists
624564,CN,211,6,11762.52,2,4,4,244,4,at risk
624588,CN,64,6,10832.40,3,4,4,344,4,loyal customers
624660,CN,8,1,912.78,5,1,1,511,1,new customers
624936,CN,267,1,777.00,1,1,1,111,1,lost
624960,CN,99,1,612.42,3,1,1,311,1,about to sleep
625092,CN,253,1,617.28,1,1,1,111,1,lost
625164,CN,169,2,1716.60,2,2,2,222,2,hibernating
625926,CN,15,4,1263.30,5,3,2,532,2,potential loyalists
626400,CN,64,1,225.00,3,1,1,311,1,about to sleep
626604,CN,204,3,2781.78,2,3,3,233,3,at risk
626640,CN,15,14,32035.32,5,5,5,555,5,champions
626976,CN,274,3,2035.50,1,3,2,132,2,lost
627060,CN,15,7,12504.36,5,4,4,544,4,loyal customers
627102,CN,302,1,361.50,1,1,1,111,1,lost
627108,CN,22,1,4410.72,4,1,3,413,2,potential loyalists
627258,CN,246,1,612.42,1,1,1,111,1,lost
627936,CN,29,2,3614.10,4,2,3,423,2,potential loyalists
628320,CN,134,2,2402.28,2,2,3,223,2,hibernating
628734,CN,29,1,199.62,4,1,1,411,1,promising
628776,CN,22,3,5956.62,4,3,4,434,3,potential loyalists
628896,CN,8,1,1177.14,5,1,2,512,1,new customers
628986,CN,36,2,1288.56,4,2,2,422,2,potential loyalists
629130,CN,15,1,1905.18,5,1,2,512,1,new customers
629484,CN,78,1,3673.68,3,1,3,313,2,about to sleep
629526,CN,15,27,59209.14,5,5,5,555,5,champions
629784,CN,183,1,208.56,2,1,1,211,1,lost
629910,CN,218,3,14943.60,2,3,5,235,4,at risk
630006,CN,15,3,74573.52,5,3,5,535,4,loyal customers
630018,CN,190,1,1220.70,2,1,2,212,1,lost
630204,CN,316,1,379.50,1,1,1,111,1,lost
630402,CN,113,4,1465.56,3,3,2,332,2,about to sleep
630456,CN,176,1,2441.40,2,1,3,213,2,hibernating
630666,CN,155,3,6294.60,2,3,4,234,3,at risk
630738,CN,211,1,165.06,2,1,1,211,1,lost
631086,CN,351,1,2404.20,1,1,3,113,2,lost
631164,CN,50,2,214.50,4,2,1,421,1,promising
631272,CN,169,1,1220.70,2,1,2,212,1,lost
631788,CN,8,3,3086.46,5,3,3,533,3,potential loyalists
632010,CN,78,1,2915.94,3,1,3,313,2,about to sleep
632064,CN,29,1,494.10,4,1,1,411,1,promising
632496,CN,36,6,7997.22,4,4,4,444,4,loyal customers
632838,CN,57,1,9009.36,3,1,4,314,2,about to sleep
632904,CN,8,12,35786.22,5,5,5,555,5,champions
632988,CN,218,1,286.74,2,1,1,211,1,lost
633396,CN,50,1,1177.14,4,1,2,412,1,promising
633678,CN,50,5,3852.18,4,4,3,443,3,potential loyalists
634080,CN,134,2,2842.38,2,2,3,223,2,hibernating
634644,CN,64,2,2475.42,3,2,3,323,2,about to sleep
634680,CN,1,2,3550.86,5,2,3,523,2,potential loyalists
634692,CN,78,5,9483.72,3,4,4,344,4,loyal customers
634698,CN,43,1,835.92,4,1,1,411,1,promising
634956,CN,29,6,9757.44,4,4,4,444,4,loyal customers
635010,CN,232,3,13984.08,2,3,5,235,4,at risk
635226,CN,99,10,30185.82,3,5,5,355,5,loyal customers
635766,CN,288,1,368.82,1,1,1,111,1,lost
635850,CN,183,3,4007.22,2,3,3,233,3,at risk
635970,CN,1,6,15001.86,5,4,5,545,4,loyal customers
636270,CN,71,1,1094.10,3,1,2,312,1,about to sleep
636618,CN,155,1,392.10,2,1,1,211,1,lost
636864,CN,64,2,1464.72,3,2,2,322,2,about to sleep
637086,CN,85,4,3869.76,3,3,3,333,3,need attention
637266,CN,141,3,8280.54,2,3,4,234,3,at risk
637416,CN,155,3,2091.48,2,3,2,232,2,hibernating
637536,CN,15,10,10657.38,5,5,4,554,4,loyal customers
637674,CN,183,1,612.42,2,1,1,211,1,lost
637770,CN,183,2,2441.40,2,2,3,223,2,hibernating
637836,CN,218,1,2232.66,2,1,3,213,2,hibernating
638118,CN,36,1,894.30,4,1,1,411,1,promising
638184,CN,197,3,1176.30,2,3,2,232,2,hibernating
638544,CN,1,217,21482332.56,5,5,5,555,5,champions
638664,CN,29,8,21872.64,4,4,5,445,4,loyal customers
638682,CN,344,2,2975.40,1,2,3,123,2,lost
639246,CN,190,1,361.44,2,1,1,211,1,lost
639330,CN,134,1,1220.70,2,1,2,212,1,lost
639348,CN,29,8,8043.66,4,4,4,444,4,loyal customers
640356,CN,253,1,392.10,1,1,1,111,1,lost
640710,CN,8,16,10834.98,5,5,4,554,4,loyal customers
640806,CN,1,19,33921.42,5,5,5,555,5,champions
641100,CN,71,4,28963.20,3,3,5,335,4,loyal customers
641430,CN,1,19,33980.22,5,5,5,555,5,champions
641646,CN,43,7,10147.68,4,4,4,444,4,loyal customers
641928,CN,190,7,14000.88,2,4,5,245,4,at risk
642060,CN,8,19,96078.36,5,5,5,555,5,champions
642354,CN,302,2,0.00,1,2,1,121,1,lost
642528,CN,204,3,4975.56,2,3,4,234,3,at risk
642552,CN,57,1,389.76,3,1,1,311,1,about to sleep
642954,CN,309,1,2214.06,1,1,3,113,2,lost
642990,CN,8,10,4276.98,5,5,3,553,4,loyal customers
643368,CN,8,4,6259.86,5,3,4,534,3,potential loyalists
643428,CN,148,4,6085.86,2,3,4,234,3,at risk
644076,CN,36,3,354.30,4,3,1,431,2,potential loyalists
644268,CN,50,17,19631.94,4,5,5,455,5,loyal customers
644424,CN,8,5,9501.00,5,4,4,544,4,loyal customers
644742,CN,106,1,925.56,3,1,1,311,1,about to sleep
644754,CN,43,6,2357.70,4,4,3,443,3,potential loyalists
645036,CN,358,1,1202.10,1,1,2,112,1,lost
645348,CN,22,22,31872.54,4,5,5,455,5,loyal customers
645366,CN,85,2,569.22,3,2,1,321,1,about to sleep
646050,CN,246,1,392.10,1,1,1,111,1,lost
646152,CN,85,2,2441.40,3,2,3,323,2,about to sleep
646218,CN,85,7,13417.98,3,4,4,344,4,loyal customers
646416,CN,15,13,26571.78,5,5,5,555,5,champions
648138,CN,309,1,136.80,1,1,1,111,1,lost
648180,CN,274,1,801.30,1,1,1,111,1,lost
648342,CN,120,1,9344.52,3,1,4,314,2,about to sleep
648642,CN,344,1,1201.20,1,1,2,112,1,lost
649236,CN,43,11,15729.90,4,5,5,455,5,loyal customers
649464,CN,197,1,187.80,2,1,1,211,1,lost
649992,CN,8,7,90048.18,5,4,5,545,4,loyal customers
650076,CN,127,2,2419.56,2,2,3,223,2,hibernating
650550,CN,295,1,2474.88,1,1,3,113,2,lost
650616,CN,85,1,1125.60,3,1,2,312,1,about to sleep
651048,CN,162,1,2927.76,2,1,3,213,2,hibernating
651186,CN,134,4,5241.54,2,3,4,234,3,at risk
651390,CN,29,1,763.26,4,1,1,411,1,promising
651402,CN,218,1,264.06,2,1,1,211,1,lost
651480,CN,141,3,2886.30,2,3,3,233,3,at risk
652320,CN,295,1,329.40,1,1,1,111,1,lost
652332,CN,141,1,474.96,2,1,1,211,1,lost
652410,CN,8,2,901.08,5,2,1,521,1,new customers
652482,CN,351,1,690.06,1,1,1,111,1,lost
652512,CN,239,1,257.70,2,1,1,211,1,lost
652716,CN,15,2,2756.58,5,2,3,523,2,potential loyalists
652794,CN,281,1,418.38,1,1,1,111,1,lost
653316,CN,127,5,791.64,2,4,1,241,2,hibernating
655782,CN,50,15,15818.88,4,5,5,455,5,loyal customers
657384,CN,92,2,3202.62,3,2,3,323,2,about to sleep
657552,CN,253,2,17796.06,1,2,5,125,3,at risk
657870,CN,358,1,189.72,1,1,1,111,1,lost
657924,CN,15,11,19162.38,5,5,5,555,5,champions
658950,CN,50,2,683.10,4,2,1,421,1,promising
659946,CN,169,2,3689.88,2,2,3,223,2,hibernating
660366,CN,246,1,4067.52,1,1,3,113,2,lost
660546,CN,22,12,27975.18,4,5,5,455,5,loyal customers
660552,CN,288,2,379.44,1,2,1,121,1,lost
661134,CN,134,1,364.14,2,1,1,211,1,lost
661350,CN,8,10,4944.06,5,5,4,554,4,loyal customers
661494,CN,316,1,115.50,1,1,1,111,1,lost
661518,CN,197,1,920.34,2,1,1,211,1,lost
661548,CN,344,1,303.00,1,1,1,111,1,lost
661842,CN,246,1,801.30,1,1,1,111,1,lost
662004,CN,155,2,10986.30,2,2,4,224,3,at risk
663180,CN,211,1,126.60,2,1,1,211,1,lost
664188,CN,204,1,1220.70,2,1,2,212,1,lost
664488,CN,92,1,2242.14,3,1,3,313,2,about to sleep
664626,CN,295,1,379.74,1,1,1,111,1,lost
665466,CN,43,3,6120.24,4,3,4,434,3,potential loyalists
666456,MM,295,1,382.86,1,1,1,111,1,lost
666714,MM,1,10,287477.82,5,5,5,555,5,champions
666750,MM,246,2,2168.58,1,2,2,122,2,lost
667074,MM,36,3,4763.04,4,3,3,433,3,potential loyalists
667140,MM,302,1,1208.28,1,1,2,112,1,lost
667608,MM,155,1,744.72,2,1,1,211,1,lost
667914,MM,211,6,11371.62,2,4,4,244,4,at risk
667920,MM,344,1,1232.04,1,1,2,112,1,lost
668070,MM,267,11,21886.92,1,5,5,155,5,can't lose
668118,MM,211,1,425.10,2,1,1,211,1,lost
668550,MM,64,1,1821.18,3,1,2,312,1,about to sleep
668556,MM,15,1,1212.00,5,1,2,512,1,new customers
668592,MM,50,5,3963.66,4,4,3,443,3,potential loyalists
668610,MM,29,7,7710.96,4,4,4,444,4,loyal customers
668622,MM,295,1,271.86,1,1,1,111,1,lost
668676,MM,211,1,384.00,2,1,1,211,1,lost
668772,MM,218,2,2381.52,2,2,3,223,2,hibernating
668862,MM,22,4,15121.68,4,3,5,435,4,loyal customers
669330,MM,323,1,4458.84,1,1,3,113,2,lost
669366,MM,8,8,12714.48,5,4,4,544,4,loyal customers
669516,MM,15,2,11525.64,5,2,4,524,3,potential loyalists
669576,MM,169,2,1275.30,2,2,2,222,2,hibernating
669852,MM,351,1,616.02,1,1,1,111,1,lost
670308,MM,78,1,4412.28,3,1,3,313,2,about to sleep
670962,MM,15,9,5868.06,5,4,4,544,4,loyal customers
671256,MM,1,7,10642.92,5,4,4,544,4,loyal customers
671370,MM,43,1,284.70,4,1,1,411,1,promising
671400,MM,225,2,2420.28,2,2,3,223,2,hibernating
671412,MM,288,1,5953.80,1,1,4,114,2,lost
671592,MM,141,2,20400.06,2,2,5,225,3,at risk
672036,MM,15,1,205.62,5,1,1,511,1,new customers
672144,MM,92,8,11673.18,3,4,4,344,4,loyal customers
672666,MM,134,1,3205.14,2,1,3,213,2,hibernating
672720,MM,57,8,7798.38,3,4,4,344,4,loyal customers
673326,MM,64,5,3805.56,3,4,3,343,3,need attention
673380,MM,281,1,607.08,1,1,1,111,1,lost
673758,MM,358,1,2229.42,1,1,3,113,2,lost
673896,MM,211,1,114.84,2,1,1,211,1,lost
674670,MM,225,1,744.72,2,1,1,211,1,lost
675030,MM,239,1,912.24,2,1,1,211,1,lost
675168,MM,197,3,1420.32,2,3,2,232,2,hibernating
675264,MM,64,2,3725.76,3,2,3,323,2,about to sleep
675486,MM,8,10,36629.76,5,5,5,555,5,champions
675564,MM,8,21,81081.24,5,5,5,555,5,champions
675924,MM,92,8,9743.34,3,4,4,344,4,loyal customers
676140,MM,281,1,1190.76,1,1,2,112,1,lost
676386,MM,134,1,1195.62,2,1,2,212,1,lost
676626,MM,29,18,11213.94,4,5,4,454,4,loyal customers
676992,MM,141,2,21960.60,2,2,5,225,3,at risk
677310,MM,1,40,18471.96,5,5,5,555,5,champions
677580,MM,1,26,112729.62,5,5,5,555,5,champions
677778,MM,120,1,1212.00,3,1,2,312,1,about to sleep
677886,MM,64,1,1212.00,3,1,2,312,1,about to sleep
677964,MM,50,1,284.70,4,1,1,411,1,promising
678174,MM,57,5,11617.80,3,4,4,344,4,loyal customers
678342,MM,134,3,3956.64,2,3,3,233,3,at risk
678432,MM,64,14,21391.08,3,5,5,355,5,loyal customers
678624,MM,8,1,617.94,5,1,1,511,1,new customers
679644,MM,43,2,1829.94,4,2,2,422,2,potential loyalists
679944,MM,71,1,1853.82,3,1,2,312,1,about to sleep
679980,MM,8,4,6048.84,5,3,4,534,3,potential loyalists
680172,MM,43,11,19907.82,4,5,5,455,5,loyal customers
680400,MM,155,1,1190.76,2,1,2,212,1,lost
680448,MM,288,1,149.52,1,1,1,111,1,lost
680454,MM,253,1,1212.00,1,1,2,112,1,lost
680460,MM,351,2,9558.24,1,2,4,124,3,at risk
680634,MM,1,4,62826.42,5,3,5,535,4,loyal customers
680658,MM,183,1,1212.00,2,1,2,212,1,lost
680904,MM,36,2,1496.70,4,2,2,422,2,potential loyalists
681150,MM,190,1,117.00,2,1,1,211,1,lost
681312,MM,309,1,2380.32,1,1,3,113,2,lost
682626,MM,15,16,43567.98,5,5,5,555,5,champions
682896,MM,8,12,90090.96,5,5,5,555,5,champions
683604,MM,204,1,2918.76,2,1,3,213,2,hibernating
683868,MM,43,4,14857.08,4,3,5,435,4,loyal customers
683922,MM,15,15,5458.74,5,5,4,554,4,loyal customers
684084,MM,141,3,4161.72,2,3,3,233,3,at risk
684192,MM,85,5,10158.06,3,4,4,344,4,loyal customers
684588,MM,302,2,284.82,1,2,1,121,1,lost
684780,MM,323,5,6671.94,1,4,4,144,4,at risk
684798,MM,8,4,33182.64,5,3,5,535,4,loyal customers
684816,MM,162,1,1821.18,2,1,2,212,1,lost
684972,CN,1,88,116824.86,5,5,5,555,5,champions
685038,CN,344,1,308.28,1,1,1,111,1,lost
685128,CN,365,1,277.68,1,1,1,111,1,lost
685140,CN,64,1,257.70,3,1,1,311,1,about to sleep
685290,CN,43,4,2169.60,4,3,2,432,2,potential loyalists
685380,MM,358,1,2204.52,1,1,2,112,1,lost
685938,CN,57,2,2901.30,3,2,3,323,2,about to sleep
686238,MM,190,3,2225.82,2,3,3,233,3,at risk
686286,CN,253,1,627.30,1,1,1,111,1,lost
686292,CN,295,1,2441.40,1,1,3,113,2,lost
686352,CN,316,1,2422.80,1,1,3,113,2,lost
686430,CN,8,2,690.06,5,2,1,521,1,new customers
686688,CN,127,1,474.96,2,1,1,211,1,lost
686982,CN,302,1,99.24,1,1,1,111,1,lost
687126,CN,253,2,704.76,1,2,1,121,1,lost
687408,CN,176,1,1201.14,2,1,2,212,1,lost
688212,CN,162,1,23694.00,2,1,5,215,3,at risk
688266,CN,22,5,2800.68,4,4,3,443,3,potential loyalists
688296,CN,260,1,11081.70,1,1,4,114,2,lost
688398,CN,78,2,1261.62,3,2,2,322,2,about to sleep
688452,CN,267,1,1201.14,1,1,2,112,1,lost
688458,CN,85,3,954.36,3,3,1,331,2,about to sleep
688632,CN,43,5,9724.62,4,4,4,444,4,loyal customers
689004,CN,218,2,786.36,2,2,1,221,1,lost
689340,CN,36,1,2915.94,4,1,3,413,2,potential loyalists
689370,CN,1,12,4083.90,5,5,3,553,4,loyal customers
690054,CN,218,1,90.36,2,1,1,211,1,lost
690324,CN,260,3,1186.08,1,3,2,132,2,lost
690366,CN,106,1,627.30,3,1,1,311,1,about to sleep
690504,CN,190,2,3227.28,2,2,3,223,2,hibernating
690552,CN,15,1,502.26,5,1,1,511,1,new customers
690822,CN,8,5,10505.40,5,4,4,544,4,loyal customers
691866,CN,155,1,949.92,2,1,1,211,1,lost
692610,CN,253,1,281.88,1,1,1,111,1,lost
692988,CN,113,2,3297.66,3,2,3,323,2,about to sleep
693330,CN,15,12,17736.06,5,5,5,555,5,champions
693822,CN,57,2,4431.72,3,2,3,323,2,about to sleep
693846,CN,43,6,11492.64,4,4,4,444,4,loyal customers
693996,MM,253,1,389.28,1,1,1,111,1,lost
694128,CN,99,3,6005.94,3,3,4,334,3,need attention
694224,CN,239,1,3037.56,2,1,3,213,2,hibernating
694680,CN,71,2,1230.06,3,2,2,322,2,about to sleep
694872,CN,29,4,8506.26,4,3,4,434,3,potential loyalists
694938,CN,323,1,387.18,1,1,1,111,1,lost
695886,CN,15,2,14360.40,5,2,5,525,3,potential loyalists
695994,MM,71,1,1025.76,3,1,2,312,1,about to sleep
696180,CN,211,2,1300.38,2,2,2,222,2,hibernating
696978,MM,8,3,3853.08,5,3,3,533,3,potential loyalists
697020,CN,43,3,7022.76,4,3,4,434,3,potential loyalists
697224,CN,50,1,1476.36,4,1,2,412,1,promising
698184,MM,260,1,1025.76,1,1,2,112,1,lost
698772,CN,36,10,3711.78,4,5,3,453,4,loyal customers
699132,MM,50,1,416.94,4,1,1,411,1,promising
699288,CN,351,1,271.32,1,1,1,111,1,lost
699744,CN,22,2,1495.62,4,2,2,422,2,potential loyalists
700188,CN,1,1,1028.82,5,1,2,512,1,new customers
700284,CN,85,1,2915.94,3,1,3,313,2,about to sleep
700986,CN,8,6,5692.62,5,4,4,544,4,loyal customers
701502,CN,113,1,164.58,3,1,1,311,1,about to sleep
701676,CN,155,1,1210.02,2,1,2,212,1,lost
702036,KR,197,5,3495.06,2,4,3,243,3,at risk
702174,KR,295,10,5907.66,1,5,4,154,4,at risk
702210,KR,1,30,136527.18,5,5,5,555,5,champions
702216,KR,358,1,3026.04,1,1,3,113,2,lost
702234,KR,1,28,67052.70,5,5,5,555,5,champions
702330,KR,22,11,17467.56,4,5,5,455,5,loyal customers
702630,KR,15,19,42399.42,5,5,5,555,5,champions
702684,KR,1,59,170276.64,5,5,5,555,5,champions
702738,KR,8,9,26058.42,5,4,5,545,4,loyal customers
702804,KR,1,16,43177.62,5,5,5,555,5,champions
702822,KR,8,15,100452.18,5,5,5,555,5,champions
702918,KR,8,6,6674.34,5,4,4,544,4,loyal customers
702936,KR,71,13,51893.70,3,5,5,355,5,loyal customers
703044,KR,8,26,38442.84,5,5,5,555,5,champions
703506,KR,239,1,612.66,2,1,1,211,1,lost
703644,KR,225,5,13605.54,2,4,4,244,4,at risk
704370,KR,50,17,41694.42,4,5,5,455,5,loyal customers
704394,KR,85,4,4144.62,3,3,3,333,3,need attention
704574,KR,309,1,7294.68,1,1,4,114,2,lost
704628,KR,36,11,54275.64,4,5,5,455,5,loyal customers
704724,KR,22,8,11290.02,4,4,4,444,4,loyal customers
704754,KR,302,3,4898.16,1,3,4,134,3,at risk
704886,KR,295,1,1206.78,1,1,2,112,1,lost
705078,KR,155,3,2949.48,2,3,3,233,3,at risk
705108,KR,274,1,178.50,1,1,1,111,1,lost
705360,KR,1,89,284245.98,5,5,5,555,5,champions
705450,KR,148,3,5570.76,2,3,4,234,3,at risk
705456,KR,8,3,2018.34,5,3,2,532,2,potential loyalists
705462,KR,1,51,31905.78,5,5,5,555,5,champions
705468,KR,22,8,22446.72,4,4,5,445,4,loyal customers
705708,KR,106,16,40045.26,3,5,5,355,5,loyal customers
706056,KR,64,11,39068.52,3,5,5,355,5,loyal customers
706068,KR,365,1,3114.60,1,1,3,113,2,lost
706404,KR,1,44,39872.16,5,5,5,555,5,champions
706776,KR,85,1,356.76,3,1,1,311,1,about to sleep
706854,KR,22,5,1896.42,4,4,2,442,3,potential loyalists
707178,KR,1,3,8720.16,5,3,4,534,3,potential loyalists
707292,KR,15,11,27560.40,5,5,5,555,5,champions
707784,KR,204,1,8763.12,2,1,4,214,2,hibernating
708042,KR,260,1,3228.84,1,1,3,113,2,lost
708456,KR,64,1,3733.92,3,1,3,313,2,about to sleep
708534,KR,1,27,25314.00,5,5,5,555,5,champions
708654,KR,253,2,18111.54,1,2,5,125,3,at risk
708780,KR,1,241,591477.00,5,5,5,555,5,champions
708894,KR,288,1,2042.58,1,1,2,112,1,lost
708996,KR,71,1,2996.82,3,1,3,313,2,about to sleep
709080,KR,50,3,1401.66,4,3,2,432,2,potential loyalists
709104,KR,288,1,3597.48,1,1,3,113,2,lost
709122,KR,358,1,407.58,1,1,1,111,1,lost
709266,KR,71,3,4738.74,3,3,3,333,3,need attention
709416,KR,8,25,59394.42,5,5,5,555,5,champions
709824,KR,43,15,6270.72,4,5,4,454,4,loyal customers
709866,KR,218,1,364.56,2,1,1,211,1,lost
710478,KR,176,4,15203.52,2,3,5,235,4,at risk
711234,KR,295,1,71.88,1,1,1,111,1,lost
711270,KR,22,3,4244.82,4,3,3,433,3,potential loyalists
711450,KR,120,6,9194.28,3,4,4,344,4,loyal customers
711894,KR,1,33,85054.26,5,5,5,555,5,champions
711984,KR,36,13,65351.28,4,5,5,455,5,loyal customers
712098,KR,15,18,34889.04,5,5,5,555,5,champions
712200,KR,43,4,12116.70,4,3,4,434,3,potential loyalists
712296,KR,169,10,23092.02,2,5,5,255,5,at risk
712338,KR,50,3,6070.08,4,3,4,434,3,potential loyalists
712482,KR,15,32,11613.90,5,5,4,554,4,loyal customers
712536,KR,127,6,13919.88,2,4,4,244,4,at risk
712644,KR,183,3,515.16,2,3,1,231,2,hibernating
712932,KR,1,31,47161.98,5,5,5,555,5,champions
713514,KR,239,6,9862.80,2,4,4,244,4,at risk
713544,KR,204,1,613.44,2,1,1,211,1,lost
713700,KR,127,2,2251.86,2,2,3,223,2,hibernating
713718,KR,8,12,55333.68,5,5,5,555,5,champions
713754,KR,29,10,24869.76,4,5,5,455,5,loyal customers
714054,KR,29,1,217.14,4,1,1,411,1,promising
714084,KR,99,1,1218.48,3,1,2,312,1,about to sleep
714474,KR,29,3,4349.28,4,3,3,433,3,potential loyalists
714660,KR,43,7,20728.32,4,4,5,445,4,loyal customers
714942,KR,1,9,32941.98,5,4,5,545,4,loyal customers
715032,KR,323,1,6078.90,1,1,4,114,2,lost
715152,KR,1,4,8402.70,5,3,4,534,3,potential loyalists
715722,KR,22,7,12317.88,4,4,4,444,4,loyal customers
716196,KR,99,2,2487.36,3,2,3,323,2,about to sleep
716574,KR,218,1,613.44,2,1,1,211,1,lost
